Name,Stadt,Type,Land,Kontakt,Einwohner,Bürgermeister,Partei,Kontaktdaten,,,,,,,
LRA Alb-Donau-Kreis in Ehingen,Alb-Donau-Kreis in Ehingen,Landkreis,Baden-Württemberg,N,#N/A,#N/A,#N/A,auslaenderamt@lra-a.bayern.de,,,,,,,
LRA Rems-Murr-Kreis,Rems-Murr-Kreis,Landkreis,Baden-Württemberg,N,#N/A,#N/A,#N/A,auslaenderamt@landkreis-guenzburg.de,,,,,,,
LRA Rhein-Neckar-Kreis,Rhein-Neckar-Kreis,Landkreis,Baden-Württemberg,N,#N/A,#N/A,#N/A,rhk@rheinhunsrueck.de,,,,,,,
LRA Neckar-Odenw.Kreis,Neckar-Odenw.Kreis,Landkreis,Baden-Württemberg,N,#N/A,#N/A,#N/A,auslaenderamt@rhein-neckar-kreis.de,,,,,,,
LRA Enzkreis,Enzkreis,Landkreis,Baden-Württemberg,N,#N/A,#N/A,#N/A,auslaenderamt@landkreis-dingolfing-landau.de,,,,,,,
LRA Main-Tauber-Kreis,Main-Tauber-Kreis,Landkreis,Baden-Württemberg,N,#N/A,#N/A,#N/A,Amt-fuer-Migration@lrasha.de,,,,,,,
LRA Ortenaukreis,Ortenaukreis,Landkreis,Baden-Württemberg,N,#N/A,#N/A,#N/A,auslaenderwesen@ortenaukreis.de,,,,,,,
LRA Schwarzwald-Baar-Kreis,Schwarzwald-Baar-Kreis,Landkreis,Baden-Württemberg,N,#N/A,#N/A,#N/A,auslaenderbehoerde@landratsamt-pirna.de,,,,,,,
LRA Zollernalbkreis,Zollernalbkreis,Landkreis,Baden-Württemberg,N,#N/A,#N/A,#N/A,post@zollernalbkreis.de,,,,,,,
LRA Bodenseekreis,Bodenseekreis,Landkreis,Baden-Württemberg,N,#N/A,#N/A,#N/A,auslaenderwesen@bodenseekreis.de,,,,,,,
LRA Main-Spessart-Kreis,Main-Spessart-Kreis,Landkreis,Bayern,N,#N/A,#N/A,#N/A,poststelle@landkreis-kelheim.de,,,,,,,
LR Odenwaldkreis,Odenwaldkreis,Landkreis,Hessen,N,#N/A,#N/A,#N/A,,,,,,,,
LR Wetteraukreis,Wetteraukreis,Landkreis,Hessen,N,#N/A,#N/A,#N/A,aufenthaltsrecht@wetteraukreis.de,,,,,,,
LRA Vogelsbergkreis,Vogelsbergkreis,Landkreis,Hessen,N,#N/A,#N/A,#N/A,auslaenderbehoerde@vogelsbergkreis.de,,,,,,,
LRA Werra-Meissner-Kreis,Werra-Meissner-Kreis,Landkreis,Hessen,N,#N/A,#N/A,#N/A,auslaenderbehoerde@werra-meissner-Kreis.de,,,,,,,
LRA Schwalm-Eder-Kreis,Schwalm-Eder-Kreis,Landkreis,Hessen,N,#N/A,#N/A,#N/A,Auslaenderbehoerde@Schwalm-Eder-Kreis.de,,,,,,,
LR Main-Kinzig-Kreis,Main-Kinzig-Kreis,Landkreis,Hessen,N,#N/A,#N/A,#N/A,auslaenderbehoerde@mkk.de,,,,,,,
LR Main-Taunus-Kreis,Main-Taunus-Kreis,Landkreis,Hessen,N,#N/A,#N/A,#N/A,auslaenderamt@mtk.org,,,,,,,
LR Hochtaunuskreis,Hochtaunuskreis,Landkreis,Hessen,N,#N/A,#N/A,#N/A,auslaenderbehoerde@hochtaunuskreis.de,,,,,,,
LR Rheingau-Taunus-Kreis,Rheingau-Taunus-Kreis,Landkreis,Hessen,N,#N/A,#N/A,#N/A,auslaenderamt@landkreis-emmendingen.de,,,,,,,
LRA Lahn-Dill-Kreis,Lahn-Dill-Kreis,Landkreis,Hessen,N,#N/A,#N/A,#N/A,auslaenderbehoerde@marburg-biedenkopf.de,,,,,,,
Landkreis Heidekreis,Heidekreis,Landkreis,Niedersachsen,N,#N/A,#N/A,#N/A,auslaenderbehoerde@kvmyk.de,,,,,,,
KRV Märkischer Kreis,Märkischer Kreis,Landkreis,Nordrhein-Westfalen,N,#N/A,#N/A,#N/A,integration-aufenthaltsrecht@iserlohn.de,,,,,,,
KRV Ennepe-Ruhr-Kreis,Ennepe-Ruhr-Kreis,Landkreis,Nordrhein-Westfalen,N,#N/A,#N/A,#N/A,auslaenderbehoerde@en-kreis.de,,,,,,,
KRV Hochsauerlandkreis,Hochsauerlandkreis,Landkreis,Nordrhein-Westfalen,N,#N/A,#N/A,#N/A,klaus.vonstein@hochsauerlandkreis.de,,,,,,,
Rhein-Kreis Neuss,Kreis Neuss,Landkreis,Nordrhein-Westfalen,N,#N/A,#N/A,#N/A,auslamt@landratsamt-ansbach.de,,,,,,,
KRV Rhein-Erft-Kreis,Rhein-Erft-Kreis,Landkreis,Nordrhein-Westfalen,N,#N/A,#N/A,#N/A,rhk@rheinhunsrueck.de,,,,,,,
KRV Oberbergischer Kreis,Oberbergischer Kreis,Landkreis,Nordrhein-Westfalen,N,#N/A,#N/A,#N/A,auslaenderbehoerde@landratsamt-pirna.de,,,,,,,
KRV Rheinisch-Bergischer Kreis,Rheinisch-Bergischer Kreis,Landkreis,Nordrhein-Westfalen,N,#N/A,#N/A,#N/A,auslaenderbehoerde@rhein-sieg-kreis.de,,,,,,,
KRV Rhein-Sieg-Kreis,Rhein-Sieg-Kreis,Landkreis,Nordrhein-Westfalen,N,#N/A,#N/A,#N/A,rhk@rheinhunsrueck.de,,,,,,,
KRV Donnersbergkreis,Donnersbergkreis,Landkreis,Rheinland-Pfalz,N,#N/A,#N/A,#N/A,kreisverwaltung@donnersberg.de,,,,,,,
KRV Rhein-Pfalz-Kreis,Rhein-Pfalz-Kreis,Landkreis,Rheinland-Pfalz,N,#N/A,#N/A,#N/A,post@kv-rpk.de,,,,,,,
ABH Rhein-Hunsrück-Kreis,Rhein-Hunsrück-Kreis,Landkreis,Rheinland-Pfalz,N,#N/A,#N/A,#N/A,rhk@rheinhunsrueck.de,,,,,,,
ABH Rhein-Hunsrück-Kreis (Standort AfA Hahn),Rhein-Hunsrück-Kreis (Standort AfA Hahn,Landkreis,Rheinland-Pfalz,N,#N/A,#N/A,#N/A,rhk@rheinhunsrueck.de,,,,,,,
KRV Westerwaldkreis,Westerwaldkreis,Landkreis,Rheinland-Pfalz,N,#N/A,#N/A,#N/A,,,,,,,,
KRV Rhein-Lahn-Kreis,Rhein-Lahn-Kreis,Landkreis,Rheinland-Pfalz,N,#N/A,#N/A,#N/A,kvbadems@rhein-lahn.rlp.de,,,,,,,
LRA Erzgebirgskreis,Erzgebirgskreis,Landkreis,Sachsen,N,#N/A,#N/A,#N/A,auslaenderbehoerde@kreis-erz.de,,,,,,,
LRA Vogtlandkreis,Vogtlandkreis,Landkreis,Sachsen,N,#N/A,#N/A,#N/A,auslaenderbehoerde@vogtlandkreis.de,,,,,,,
LKR Altmarkkreis Salzwedel,Altmarkkreis Salzwedel,Landkreis,Sachsen-Anhalt,N,#N/A,#N/A,#N/A,info@altmarkkreis-salzwedel.de,,,,,,,
Salzlandkreis,landkreis,Landkreis,Sachsen-Anhalt,N,#N/A,#N/A,#N/A,post@kreis-ak.de,,,,,,,
LKR Saalekreis,Saalekreis,Landkreis,Sachsen-Anhalt,N,#N/A,#N/A,#N/A,auslaenderbehoerde@kreis-slk.de,,,,,,,
Burgenlandkreis,enlandkreis,Landkreis,Sachsen-Anhalt,N,#N/A,#N/A,#N/A,post@kreis-ak.de,,,,,,,
LRA Unstrut-Hainich-Kreis,Unstrut-Hainich-Kreis,Landkreis,Thüringen,N,#N/A,#N/A,#N/A,abh@lrauh.thueringen.de,,,,,,,
LRA Kyffhäuserkreis,Kyffhäuserkreis,Landkreis,Thüringen,N,#N/A,#N/A,#N/A,abh@kyffhaeuser.de,,,,,,,
LRA Saale-Holzland-Kreis,Saale-Holzland-Kreis,Landkreis,Thüringen,N,#N/A,#N/A,#N/A,auslaenderamt@landkreis-hof.de,,,,,,,
LRA Saale-Orla-Kreis,Saale-Orla-Kreis,Landkreis,Thüringen,N,#N/A,#N/A,#N/A,auslaenderamt@landkreis-hof.de,,,,,,,
LRA Wartburgkreis,Wartburgkreis,Landkreis,Thüringen,N,#N/A,#N/A,#N/A,versorgung.migration@wartburgkreis.de,,,,,,,
LRA Ilm-Kreis,Ilm-Kreis,Landkreis,Thüringen,N,#N/A,#N/A,#N/A,auslaenderamt@landratsamt-paf.de,,,,,,,
